X1	Y1	ProbId1	X2	Y2	ProbId2	
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.9	NaN
767.32	687.58	NaN	1158.3	164.9	NaN
767.32	687.58	NaN	1158.3	165.03	NaN
767.32	687.58	NaN	1158.3	165.03	NaN
767.32	687.58	NaN	1158.3	164.98	NaN
767.32	687.58	NaN	1158.3	164.98	NaN
767.32	687.58	NaN	1158.3	164.98	NaN
767.32	687.58	NaN	1158.3	164.85	NaN
767.32	687.58	NaN	1158.3	164.85	NaN
767.32	687.58	NaN	1158.3	164.85	NaN
767.32	687.58	NaN	1158.3	164.85	NaN
767.32	687.58	NaN	1158.4	164.6	NaN
767.32	687.58	NaN	1158.3	164.85	NaN
767.32	687.58	NaN	1158.3	164.85	NaN
767.32	687.58	NaN	1158.3	164.85	NaN
767.32	687.58	NaN	1158.4	164.7	NaN
767.5	687.22	NaN	1158.3	164.85	NaN
767.52	687.7	NaN	1158.3	164.69	NaN
767.24	687.88	NaN	1158.3	164.82	NaN
767.47	688.88	NaN	1158.3	164.67	NaN
769.29	686.96	NaN	1158.3	164.49	NaN
769.18	685.41	NaN	1158.3	165.01	NaN
769.94	682.94	NaN	1158.3	165.01	NaN
769.73	683.07	NaN	1158.3	165.01	NaN
769.75	682.75	NaN	1158.3	165.01	NaN
769.27	682.41	NaN	1158.3	164.45	NaN
769.74	681.89	NaN	1158.3	164.39	NaN
766	683.06	NaN	1158.3	164.39	NaN
753.14	687.86	NaN	1158.3	164.39	NaN
734.76	692.33	NaN	1158.3	164.39	NaN
731.76	685.86	NaN	1158.3	164.39	NaN
728.6	678.15	NaN	1158.2	163.53	NaN
722.08	679.31	NaN	1158.3	164.1	NaN
724.56	677.31	NaN	1158.4	164.16	NaN
723.23	675.09	NaN	1158.4	164.29	NaN
711.32	677.3	NaN	1158.4	164.32	NaN
703.96	679.13	NaN	1158.3	163.99	NaN
702.9	674.45	NaN	1158.2	163.51	NaN
702.04	671.74	NaN	1158.3	165.06	NaN
701.95	675.57	NaN	1158.4	164.16	NaN
700.38	673.52	NaN	1158.4	164.44	NaN
698.52	671.04	NaN	1158.4	164.29	NaN
696	673.47	NaN	1158.4	164.47	NaN
694.86	674	NaN	1158.3	163.88	NaN
694.04	671.48	NaN	1158.4	165.06	NaN
693.6	673.2	NaN	1158.3	164.35	NaN
692.78	674.22	NaN	1158.3	164.34	NaN
693.1	671.65	NaN	1158.3	163.58	NaN
692.87	671.6	NaN	1158.3	163.52	NaN
694.3	673.15	NaN	1158.3	163.52	NaN
694.68	673.52	NaN	1158.3	163.58	NaN
694.21	673.21	NaN	1158.3	163.58	NaN
694.16	672.21	NaN	1158.3	164.18	NaN
695.29	673.71	NaN	1158.3	164.18	NaN
695.36	676.68	NaN	1158.3	164.18	NaN
694.7	677.87	NaN	1158.3	164.18	NaN
695.65	674.17	NaN	1158.3	164.1	NaN
695.43	673.13	NaN	1158.3	164.1	NaN
694.92	674.42	NaN	1158.3	164.1	NaN
695.33	672.79	NaN	1158.3	164.1	NaN
696.05	671.14	NaN	1158.4	163.96	NaN
695.56	671.72	NaN	1158.5	163.89	NaN
695.71	671.29	NaN	1158.5	163.89	NaN
696.2	671.45	NaN	1158.5	165.09	NaN
696.8	671.93	NaN	1158.5	164.82	NaN
696.2	671.45	NaN	1158.5	164.9	NaN
696.5	671.4	NaN	1158.5	164.9	NaN
696.8	671.93	NaN	1158.5	164.9	NaN
696.8	671.93	NaN	1158.5	164.9	NaN
695.84	671.58	NaN	1158.5	164.9	NaN
696.71	671.33	NaN	1158.5	164.9	NaN
696.95	671.32	NaN	1158.5	164.9	NaN
696.74	671	NaN	1158.5	164.9	NaN
697.82	670.88	NaN	1158.5	164.9	NaN
