,frame,pos_x,pos_y,id
346,44.0,506,705,C
347,44.0,1015,971,D
348,44.0,1391,723,E
349,44.0,882,1005,F
350,44.0,917,935,G
351,44.0,987,911,H
352,45.0,609,201,A
353,45.0,1054,424,B
354,45.0,506,705,C
355,45.0,1011,972,D
356,45.0,1391,723,E
357,45.0,870,1004,F
358,45.0,919,935,G
359,45.0,988,913,H
360,46.0,607,204,A
361,46.0,1055,424,B
362,46.0,506,705,C
363,46.0,1008,970,D
364,46.0,1391,723,E
365,46.0,858,997,F
366,46.0,923,934,G
367,46.0,989,914,H
368,47.0,605,208,A
369,47.0,1054,424,B
370,47.0,506,705,C
371,47.0,1004,966,D
372,47.0,1391,722,E
373,47.0,849,992,F
374,47.0,927,932,G
375,47.0,990,914,H
376,48.0,602,212,A
377,48.0,1054,424,B
378,48.0,506,705,C
379,48.0,1004,962,D
380,48.0,1391,722,E
381,48.0,841,987,F
382,48.0,927,930,G
383,48.0,993,914,H
384,49.0,598,214,A
385,49.0,1054,424,B
386,49.0,506,705,C
387,49.0,1005,959,D
388,49.0,1391,722,E
389,49.0,835,980,F
390,49.0,926,927,G
391,49.0,998,913,H
392,50.0,592,218,A
393,50.0,1054,424,B
394,50.0,506,705,C
395,50.0,1005,953,D
396,50.0,1391,722,E
397,50.0,824,967,F
398,50.0,927,921,G
399,50.0,1004,913,H
400,51.0,588,223,A
401,51.0,1054,424,B
402,51.0,506,705,C
403,51.0,1005,951,D
404,51.0,1391,722,E
405,51.0,816,959,F
406,51.0,927,917,G
407,51.0,1013,914,H
408,52.0,586,227,A
409,52.0,1054,424,B
410,52.0,506,705,C
411,52.0,1003,949,D
412,52.0,1391,722,E
413,52.0,802,956,F
414,52.0,927,914,G
415,52.0,1024,914,H
416,53.0,581,228,A
417,53.0,1055,424,B
418,53.0,506,705,C
419,53.0,1002,948,D
420,53.0,1391,722,E
421,53.0,791,956,F
422,53.0,927,910,G
423,53.0,1036,915,H
424,54.0,578,230,A
425,54.0,1054,424,B
426,54.0,506,705,C
427,54.0,1000,944,D
428,54.0,1391,722,E
429,54.0,779,947,F
430,54.0,927,909,G
431,54.0,1052,916,H
432,55.0,577,229,A
433,55.0,1054,424,B
434,55.0,506,705,C
435,55.0,1000,941,D
436,55.0,1391,722,E
437,55.0,769,945,F
438,55.0,932,905,G
439,55.0,1062,917,H
440,56.0,575,229,A
441,56.0,1054,424,B
442,56.0,506,705,C
443,56.0,994,941,D
444,56.0,1391,722,E
445,56.0,757,950,F
446,56.0,936,904,G
447,56.0,1072,915,H
448,57.0,572,228,A
449,57.0,1054,424,B
450,57.0,506,705,C
451,57.0,984,943,D
452,57.0,1391,722,E
453,57.0,747,950,F
454,57.0,943,899,G
455,57.0,1085,912,H
456,58.0,571,228,A
457,58.0,1054,424,B
458,58.0,506,705,C
459,58.0,969,943,D
460,58.0,1391,722,E
461,58.0,742,945,F
462,58.0,950,894,G
463,58.0,1098,910,H
464,59.0,573,226,A
465,59.0,1054,424,B
466,59.0,506,705,C
467,59.0,956,942,D
468,59.0,1391,722,E
469,59.0,738,935,F
470,59.0,956,893,G
471,59.0,1108,906,H
472,60.0,573,224,A
473,60.0,1054,424,B
474,60.0,506,705,C
475,60.0,945,940,D
476,60.0,1391,722,E
477,60.0,740,928,F
478,60.0,969,891,G
479,60.0,1114,900,H
480,61.0,572,225,A
481,61.0,1055,424,B
482,61.0,506,705,C
483,61.0,934,936,D
484,61.0,1391,722,E
485,61.0,733,920,F
486,61.0,976,893,G
487,61.0,1118,894,H
488,62.0,572,226,A
489,62.0,1055,424,B
490,62.0,506,705,C
491,62.0,922,925,D
492,62.0,1391,722,E
493,62.0,728,908,F
494,62.0,989,902,G
495,62.0,1126,888,H
496,63.0,571,227,A
497,63.0,1054,424,B
498,63.0,506,705,C
499,63.0,917,921,D
500,63.0,1391,722,E
501,63.0,725,895,F
502,63.0,994,905,G
503,63.0,1129,883,H
504,64.0,570,228,A
505,64.0,1055,424,B
506,64.0,506,705,C
507,64.0,901,915,D
508,64.0,1391,722,E
509,64.0,715,885,F
510,64.0,1000,910,G
511,64.0,1136,877,H
512,65.0,570,230,A
513,65.0,1054,424,B
514,65.0,506,705,C
515,65.0,883,905,D
516,65.0,1391,722,E
517,65.0,705,877,F
518,65.0,1006,915,G
519,65.0,1146,869,H
520,66.0,572,233,A
521,66.0,1054,424,B
522,66.0,506,705,C
523,66.0,867,898,D
524,66.0,1391,722,E
525,66.0,692,860,F
526,66.0,1013,925,G
527,66.0,1155,865,H
528,67.0,574,234,A
529,67.0,1054,424,B
530,67.0,506,705,C
531,67.0,841,893,D
532,67.0,1391,722,E
533,67.0,683,852,F
534,67.0,1017,930,G
535,67.0,1170,862,H
536,68.0,576,237,A
537,68.0,1054,424,B
538,68.0,506,705,C
539,68.0,827,886,D
540,68.0,1391,722,E
541,68.0,668,843,F
542,68.0,1020,937,G
543,68.0,1178,860,H
544,69.0,577,237,A
545,69.0,1055,424,B
546,69.0,506,705,C
547,69.0,813,868,D
548,69.0,1391,722,E
549,69.0,657,824,F
550,69.0,1026,945,G
551,69.0,1191,857,H
552,70.0,578,238,A
553,70.0,1054,424,B
554,70.0,506,705,C
555,70.0,791,859,D
556,70.0,1391,722,E
557,70.0,648,814,F
558,70.0,1034,950,G
559,70.0,1199,856,H
560,71.0,579,242,A
561,71.0,1054,424,B
562,71.0,506,705,C
563,71.0,775,850,D
564,71.0,1391,722,E
565,71.0,636,803,F
566,71.0,1041,955,G
567,71.0,1218,853,H
568,72.0,579,246,A
569,72.0,1054,424,B
570,72.0,506,705,C
571,72.0,762,846,D
572,72.0,1391,722,E
573,72.0,630,786,F
574,72.0,1052,964,G
575,72.0,1229,850,H
576,73.0,576,250,A
577,73.0,1054,424,B
578,73.0,506,705,C
579,73.0,742,850,D
580,73.0,1391,722,E
581,73.0,625,775,F
582,73.0,1059,966,G
583,73.0,1241,845,H
584,74.0,572,255,A
585,74.0,1054,424,B
586,74.0,506,705,C
587,74.0,725,852,D
588,74.0,1391,722,E
589,74.0,616,761,F
590,74.0,1072,964,G
591,74.0,1251,839,H
592,75.0,567,263,A
593,75.0,1054,424,B
594,75.0,506,705,C
595,75.0,707,852,D
596,75.0,1391,722,E
597,75.0,613,748,F
598,75.0,1078,960,G
599,75.0,1264,829,H
600,76.0,564,270,A
601,76.0,1054,424,B
602,76.0,506,705,C
603,76.0,685,853,D
604,76.0,1391,722,E
605,76.0,609,732,F
606,76.0,1088,956,G
607,76.0,1273,818,H
608,77.0,558,275,A
609,77.0,1054,424,B
610,77.0,506,705,C
611,77.0,671,844,D
612,77.0,1391,722,E
613,77.0,600,719,F
614,77.0,1100,949,G
615,77.0,1278,810,H
616,78.0,549,280,A
617,78.0,1054,424,B
618,78.0,506,705,C
619,78.0,664,833,D
620,78.0,1391,722,E
621,78.0,589,710,F
622,78.0,1104,947,G
623,78.0,1282,802,H
624,79.0,544,284,A
625,79.0,1054,424,B
626,79.0,506,705,C
627,79.0,652,827,D
628,79.0,1391,722,E
629,79.0,586,698,F
630,79.0,1105,943,G
631,79.0,1285,796,H
632,80.0,542,289,A
633,80.0,1055,424,B
634,80.0,506,705,C
635,80.0,644,812,D
636,80.0,1391,722,E
637,80.0,588,694,F
638,80.0,1106,936,G
639,80.0,1285,784,H
640,81.0,539,300,A
641,81.0,1054,424,B
642,81.0,506,705,C
643,81.0,643,798,D
644,81.0,1391,722,E
645,81.0,587,692,F
646,81.0,1107,930,G
647,81.0,1284,778,H
648,82.0,535,305,A
649,82.0,1055,424,B
650,82.0,506,705,C
651,82.0,641,787,D
652,82.0,1391,722,E
653,82.0,588,688,F
654,82.0,1113,920,G
655,82.0,1282,769,H
656,83.0,532,307,A
657,83.0,1054,424,B
658,83.0,506,705,C
659,83.0,641,776,D
660,83.0,1391,722,E
661,83.0,585,680,F
662,83.0,1113,911,G
663,83.0,1280,761,H
664,84.0,526,309,A
665,84.0,1054,424,B
666,84.0,505,704,C
667,84.0,641,761,D
668,84.0,1391,722,E
669,84.0,582,671,F
670,84.0,1115,902,G
671,84.0,1281,753,H
672,85.0,521,311,A
673,85.0,1054,424,B
674,85.0,505,703,C
675,85.0,641,753,D
676,85.0,1391,722,E
677,85.0,585,661,F
678,85.0,1119,889,G
679,85.0,1278,743,H
680,86.0,516,312,A
681,86.0,1054,424,B
682,86.0,505,702,C
683,86.0,631,741,D
684,86.0,1391,722,E
685,86.0,591,652,F
686,86.0,1122,879,G
687,86.0,1279,736,H
688,87.0,514,314,A
689,87.0,1055,424,B
690,87.0,505,700,C
691,87.0,621,729,D
692,87.0,1391,722,E
693,87.0,592,646,F
694,87.0,1127,873,G
695,87.0,1277,727,H
696,88.0,514,314,A
697,88.0,1054,424,B
698,88.0,506,698,C
699,88.0,614,717,D
700,88.0,1391,722,E
701,88.0,586,635,F
702,88.0,1139,867,G
703,88.0,1279,720,H
704,89.0,514,314,A
705,89.0,1055,424,B
706,89.0,504,696,C
707,89.0,605,712,D
