X1	Y1	ProbId1	
826.33	425.67	NaN
825.65	426.26	NaN
826.45	425.73	NaN
827.44	424.58	NaN
827.49	424.57	NaN
827.23	424.84	NaN
826.41	425.91	NaN
826.2	426.06	NaN
826.67	425.55	NaN
826.96	425.39	NaN
828.15	424.31	NaN
827.83	424.67	NaN
827.77	424.59	NaN
827.51	424.84	NaN
826.72	425.52	NaN
825.92	426.05	NaN
825.92	426.05	NaN
825.92	426.05	NaN
825.97	425.97	NaN
825.51	426.32	NaN
826.05	425.82	NaN
819.49	431.9	NaN
824.98	426.33	NaN
824.98	426.33	NaN
826.48	425.09	NaN
826.84	425.08	NaN
827.21	424.97	NaN
827.12	425.1	NaN
826.55	425.44	NaN
826.66	425.39	NaN
826.48	425.83	NaN
826.89	425.43	NaN
825.92	426.38	NaN
827.16	425.43	NaN
827.09	425.38	NaN
827.09	425.38	NaN
827.63	424.59	NaN
827.42	424.69	NaN
826.89	425.4	NaN
827	425.1	NaN
827.38	424.78	NaN
827.38	424.78	NaN
826.94	425.19	NaN
826.96	425.09	NaN
827.3	424.91	NaN
827.47	424.66	NaN
827.22	424.84	NaN
827.51	424.66	NaN
827.08	425.24	NaN
826.14	426.42	NaN
825.51	427.05	NaN
825.87	427.02	NaN
826.02	426.84	NaN
826.35	426.51	NaN
826.22	426.55	NaN
826.64	425.99	NaN
827.16	425.4	NaN
826.87	425.48	NaN
826.86	425.31	NaN
825.66	426.35	NaN
826.65	425.34	NaN
819.23	431.47	NaN
812.94	436.05	NaN
808.3	439.59	NaN
805.11	442.06	NaN
805.78	441.79	NaN
801	444.49	NaN
801.43	444.83	NaN
798.7	446.31	NaN
797.89	446.55	NaN
800.27	445.29	NaN
800.27	445.29	NaN
797.4	446.78	NaN
798.87	446.66	NaN
797.59	447.56	NaN
799.55	446.47	NaN
799.75	446.3	NaN
799.75	446.29	NaN
799.36	446.24	NaN
798.2	446.84	NaN
799.02	446.2	NaN
799.2	446.06	NaN
798.5	446.44	NaN
798.5	446.44	NaN
799.48	445.84	NaN
799.14	446.27	NaN
798.76	446.59	NaN
798.73	446.73	NaN
798.34	447.11	NaN
798.41	447.09	NaN
798.62	447.07	NaN
798.83	447.02	NaN
798.62	447.36	NaN
801.09	445.97	NaN
800.46	446.3	NaN
801.7	445.43	NaN
801.59	445.47	NaN
801.08	445.64	NaN
800.77	445.71	NaN
802.66	444.61	NaN
799.73	445.95	NaN
800.01	445.46	NaN
800.01	445.46	NaN
799.72	445.62	NaN
799.12	445.9	NaN
798.64	446.22	NaN
801.42	445	NaN
