X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
506.19	698.41	NaN	578.55	229.83	NaN	928.94	906.42	NaN	1065.8	915.81	NaN	1056.6	418.4	NaN	768.29	952.46	NaN	1007.9	942.94	NaN	1388.7	728.86	NaN
506.19	698.44	NaN	575.66	229.52	NaN	934.89	901.36	NaN	1077.8	913.67	NaN	1056.6	418.4	NaN	759	953.31	NaN	996.82	945.07	NaN	1388.7	728.96	NaN
506.18	698.24	NaN	573.6	228.88	NaN	942.55	896.18	NaN	1092.1	912.41	NaN	1056.6	418.4	NaN	754.63	949.15	NaN	983.06	943.35	NaN	1388.7	728.92	NaN
506.23	698.58	NaN	574.23	227.25	NaN	947.5	894.72	NaN	1101.7	909.14	NaN	1056.6	418.4	NaN	750.74	940.65	NaN	969.26	941.83	NaN	1388.8	728.83	NaN
506.22	698.46	NaN	573.82	225.62	NaN	961.4	891.38	NaN	1108.1	904.67	NaN	1056.6	418.4	NaN	750.27	933.89	NaN	956	942.28	NaN	1388.8	728.8	NaN
506.26	698.48	NaN	573.29	226.23	NaN	968.68	892.23	NaN	1110.9	899.53	NaN	1056.6	418.4	NaN	742.95	928.33	NaN	946.37	939.07	NaN	1388.8	728.8	NaN
506.22	698.37	NaN	573.19	227.04	NaN	981.55	900.17	NaN	1120.3	893.98	NaN	1056.6	418.5	NaN	736.9	916.52	NaN	933.12	928.93	NaN	1388.8	728.68	NaN
506.21	698.34	NaN	571.88	227.68	NaN	986.79	903.05	NaN	1124.6	889.78	NaN	1056.6	418.5	NaN	734.27	903.71	NaN	927.77	926.03	NaN	1388.8	728.76	NaN
506.25	698.45	NaN	571.63	228.7	NaN	993.66	907.05	NaN	1131.3	883.96	NaN	1056.6	418.5	NaN	722.76	893.57	NaN	910.81	921.58	NaN	1388.9	728.68	NaN
506.23	698.46	NaN	573.14	230.75	NaN	999.8	912.33	NaN	1141	874.91	NaN	1056.6	418.5	NaN	712.97	885.23	NaN	893.16	910.72	NaN	1389.3	728.59	NaN
506.18	698.48	NaN	577.27	233.12	NaN	1007	921.47	NaN	1149.8	870.48	NaN	1056.6	418.5	NaN	701.1	866.38	NaN	877.46	902.4	NaN	1389.2	728.66	NaN
506.18	698.62	NaN	579.96	234.33	NaN	1011.1	926.63	NaN	1163.9	866.96	NaN	1056.6	418.5	NaN	691.37	858.81	NaN	850.89	899.55	NaN	1389.1	728.85	NaN
506.23	698.67	NaN	583.81	236.89	NaN	1013.5	932.87	NaN	1172.5	864.4	NaN	1056.6	418.5	NaN	675.02	850.39	NaN	836.36	891.66	NaN	1389	728.85	NaN
506.18	698.69	NaN	584.31	236.52	NaN	1021.4	940.12	NaN	1185.1	860.74	NaN	1056.6	418.5	NaN	664.96	830.03	NaN	822.42	874.6	NaN	1389	728.94	NaN
