X1	Y1	ProbId1	
287.57	735.66	NaN
285.56	735.95	NaN
285.98	735.54	NaN
285.2	735.65	NaN
287.1	735.44	NaN
284.99	735.52	NaN
286.2	735.14	NaN
282.12	735.5	NaN
281.75	735.33	NaN
278.67	735.56	NaN
275.62	735.7	NaN
274.68	735.64	NaN
273.93	735.66	NaN
273.06	735.8	NaN
272.44	735.52	NaN
273.75	735.48	NaN
NaN	NaN	NaN
273.77	735.41	NaN
270.62	735.59	NaN
269.85	735.46	NaN
268.03	735.69	NaN
264.29	735.94	NaN
262.91	736.04	NaN
260.04	736.25	NaN
259.98	735.82	NaN
257.75	736.22	NaN
259.7	735.66	NaN
258.46	735.82	NaN
260.97	735.58	NaN
260.85	735.6	NaN
259.91	735.41	NaN
255.18	735.94	NaN
254	735.81	NaN
251.78	736.01	NaN
249.68	736.11	NaN
249.08	736.08	NaN
248.44	735.91	NaN
247.37	735.99	NaN
245.68	736.26	NaN
244.15	736.28	NaN
247.1	735.83	NaN
247.6	735.71	NaN
249.84	735.38	NaN
247.05	735.19	NaN
246.27	735.12	NaN
242.21	735.55	NaN
240.83	735.59	NaN
238.81	735.82	NaN
239.21	735.49	NaN
239.36	735.29	NaN
242.32	734.78	NaN
242.94	734.8	NaN
246.44	734.27	NaN
250.18	733.87	NaN
245.44	734.17	NaN
240.03	734.68	NaN
231.17	735.61	NaN
229.76	735.58	NaN
229.4	735.45	NaN
229.11	735.4	NaN
228.33	735.2	NaN
226.32	735.39	NaN
225.49	735.7	NaN
228.73	735.17	NaN
234.39	734.43	NaN
234.05	734.39	NaN
236.88	733.86	NaN
232.03	734.18	NaN
223.03	735.15	NaN
221.69	735.12	NaN
219.63	735.28	NaN
218.62	735.15	NaN
219.5	734.89	NaN
221.36	734.62	NaN
217.57	735.13	NaN
221.18	734.65	NaN
222.74	734.32	NaN
225.03	733.96	NaN
228.09	733.45	NaN
218.19	734.54	NaN
220.38	734.09	NaN
215.53	734.59	NaN
214.95	734.49	NaN
213.33	734.55	NaN
214.52	734.16	NaN
220.73	733.27	NaN
217.57	733.76	NaN
223.33	732.92	NaN
